"Bot","Parties","Victoires","Egalites","TotalPoints","TotalObjectifs","%Victoire","ScoreMoyen","ObjMoyen"
"BotRandom","1000","181","0","15600","3318","18,10%","15,60","3,32"
"BotParcelle","3000","1819","0","71832","21782","60,63%","23,94","7,26"
